['Stukely', -72.23476445, 45.363797076666664, '2022-09-03', '02-04-33', '06_04_55', 'Stukely_Day14_2022-09-03_02-04-33_picNo_64_M45.363797076666664_N-72.23476445_T06_04_55.200000.png', []],
['Stukely', -72.234764755, 45.363797471666665, '2022-09-03', '02-04-33', '06_04_56', 'Stukely_Day14_2022-09-03_02-04-33_picNo_66_M45.363797471666665_N-72.234764755_T06_04_56.200000.png', []],
['Stukely', -72.234764755, 45.363797471666665, '2022-09-03', '02-04-33', '06_04_56', 'Stukely_Day14_2022-09-03_02-04-33_picNo_67_M45.363797471666665_N-72.234764755_T06_04_56.200000.png', []],
['Stukely', -72.23476513333334, 45.363797831666666, '2022-09-03', '02-04-33', '06_04_57', 'Stukely_Day14_2022-09-03_02-04-33_picNo_69_M45.363797831666666_N-72.23476513333334_T06_04_57.200000.png', []],
['Stukely', -72.23476513333334, 45.363797831666666, '2022-09-03', '02-04-33', '06_04_57', 'Stukely_Day14_2022-09-03_02-04-33_picNo_70_M45.363797831666666_N-72.23476513333334_T06_04_57.200000.png', []],
['Stukely', -72.23476553833333, 45.36379818166667, '2022-09-03', '02-04-33', '06_04_58', 'Stukely_Day14_2022-09-03_02-04-33_picNo_72_M45.36379818166667_N-72.23476553833333_T06_04_58.200000.png', []],
['Stukely', -72.23476553833333, 45.36379818166667, '2022-09-03', '02-04-33', '06_04_58', 'Stukely_Day14_2022-09-03_02-04-33_picNo_73_M45.36379818166667_N-72.23476553833333_T06_04_58.200000.png', []],
['Stukely', -72.234765895, 45.36379860666667, '2022-09-03', '02-04-33', '06_04_59', 'Stukely_Day14_2022-09-03_02-04-33_picNo_75_M45.36379860666667_N-72.234765895_T06_04_59.200000.png', []],
['Stukely', -72.234765895, 45.36379860666667, '2022-09-03', '02-04-33', '06_04_59', 'Stukely_Day14_2022-09-03_02-04-33_picNo_76_M45.36379860666667_N-72.234765895_T06_04_59.200000.png', []],
['Stukely', -72.23476627666666, 45.36379898, '2022-09-03', '02-04-33', '06_05_00', 'Stukely_Day14_2022-09-03_02-04-33_picNo_78_M45.36379898_N-72.23476627666666_T06_05_00.200000.png', []],
['Stukely', -72.23476627666666, 45.36379898, '2022-09-03', '02-04-33', '06_05_00', 'Stukely_Day14_2022-09-03_02-04-33_picNo_79_M45.36379898_N-72.23476627666666_T06_05_00.200000.png', []],
['Stukely', -72.23476664333333, 45.363799461666666, '2022-09-03', '02-04-33', '06_05_01', 'Stukely_Day14_2022-09-03_02-04-33_picNo_81_M45.363799461666666_N-72.23476664333333_T06_05_01.200000.png', []],
['Stukely', -72.23476664333333, 45.363799461666666, '2022-09-03', '02-04-33', '06_05_01', 'Stukely_Day14_2022-09-03_02-04-33_picNo_82_M45.363799461666666_N-72.23476664333333_T06_05_01.200000.png', []],
['Stukely', -72.23476694833333, 45.363799895, '2022-09-03', '02-04-33', '06_05_02', 'Stukely_Day14_2022-09-03_02-04-33_picNo_84_M45.363799895_N-72.23476694833333_T06_05_02.200000.png', []],
['Stukely', -72.23476694833333, 45.363799895, '2022-09-03', '02-04-33', '06_05_02', 'Stukely_Day14_2022-09-03_02-04-33_picNo_85_M45.363799895_N-72.23476694833333_T06_05_02.200000.png', []],
['Stukely', -72.23476719333334, 45.363800381666664, '2022-09-03', '02-04-33', '06_05_03', 'Stukely_Day14_2022-09-03_02-04-33_picNo_87_M45.363800381666664_N-72.23476719333334_T06_05_03.200000.png', []],
['Stukely', -72.23476719333334, 45.363800381666664, '2022-09-03', '02-04-33', '06_05_03', 'Stukely_Day14_2022-09-03_02-04-33_picNo_88_M45.363800381666664_N-72.23476719333334_T06_05_03.200000.png', []],
['Stukely', -72.23476742833333, 45.363800848333334, '2022-09-03', '02-04-33', '06_05_04', 'Stukely_Day14_2022-09-03_02-04-33_picNo_90_M45.363800848333334_N-72.23476742833333_T06_05_04.200000.png', []],
['Stukely', -72.23476742833333, 45.363800848333334, '2022-09-03', '02-04-33', '06_05_04', 'Stukely_Day14_2022-09-03_02-04-33_picNo_91_M45.363800848333334_N-72.23476742833333_T06_05_04.200000.png', []],
['Stukely', -72.23476765833334, 45.36380132833333, '2022-09-03', '02-04-33', '06_05_05', 'Stukely_Day14_2022-09-03_02-04-33_picNo_93_M45.36380132833333_N-72.23476765833334_T06_05_05.200000.png', []],
